Tool Name,Category,Description,Level,Code,
GitHub,Global solution,Code version control,Global solution,GHB,
HuggingFace,Global solution,Model & dataset hub,Global solution,HGF,
OpenAI,Global solution,AI API provider,Global solution,OAI,
Claude,Global solution,AI API provider,Global solution,CLD,
AWS,Global solution,Cloud computing platform,Global solution,AWS,
CatDV,University level,Media,University level,CDV,
Orbilu,University level,Luxembourgish zenodo,University level,ORB,
GitLab,University level,Code version control,University level,GLA,
Transkribus,C2DH level,Handwritten text recogniser,C2DH level,TRK,
Nodegoat,C2DH level,Relational data modeller,C2DH level,NDG,
Dataverse,C2DH level,Research data repository,C2DH level,DTV,
Nainuwa,C2DH level,Digital library system,C2DH level,NAI,
Omeka,C2DH level,Digital collections publisher,C2DH level,OMK,
Jupyter hub,C2DH level,VM with jupyter notebook,C2DH level,JUP,
Impresso data lab,Home made,Portal of press,Home made,IMP,
Digital monography,Home made,Book project,Home made,DMO,
JDH,Home made,Journal in open access,Home made,JDH,
Muse,Home made,Multimedia search engine,Home made,MSE,
Semantic Engine for Multimodal Search,Home made,Semantic search,Home made,SEM,
